title,developer,publisher,tags,overview
Minion Masters,BetaDwarf ,BetaDwarf ,"['Early Access', 'Strategy', 'Card Game', 'Multiplayer', 'PvP', 'Real-Time', 'Indie', 'Free to Play', 'Real Time Tactics', 'Action', 'Competitive', 'Early Access', 'Fantasy', 'Blood', 'Top-Down', 'Controller', 'Trading Card Game', 'Singleplayer', 'Tower Defense', 'Strategy RPG']","Engage in epic 1v1 or 2v2 battles, in this fast-paced strategic minion brawler that's easy to pick-up but hard to master. In Minion Masters there are many different Masters with unique hero abilities and you collect awesome minions like fierce demons, cute creatures, devastating spells and much more. Utilize your minions to destroy the enemy Master! When a minion has been summoned they can no longer be controlled, so place them wisely to win!Game Modes1v1 - Fight against other players and see how far your skills can take you. The rank of Grandmaster awaits if become one of the best!2v2 - Join with your friend or queue up with strangers to take down other teams in this super intense 2v2 action. Twice the minions, twice the action! 1v1 Draft - Build your deck from a random selection of cards each run. You gain better rewards if you defeat more opponents, but be careful, 3 losses and you're out!Mayhem - New crazy rules to try out every week!Expeditions - Rewarding and challenging journeys!    Solo challenges  - Hone your skills by practicing against Ai Masters!Legendary MastersLearning how to use your master’s abilities to their full potential and building your deck around them is crucial for victory! Each Master has their own unique personality and play-style, with opportunities for all kinds of strategies! Only the most determined players learn to use a Master to their greatest potential!Unlock and Craft Mighty Minions and Spicy Spells!Over 100 unique cards (minions, spells, buildings) with more being added all the time!Like the peace-loving Mana Puff, that gives you extra mana when it's happy - which is always!Or the Troubadour, who refuses to do anything but play his bagpipe, making all the other minions attack him regardless of what else is going on just to make it stop... Of course, you could also get the Undying Skeleton who comes back to life after you kill it!Free Expansions!We are constantly adding new content to the game, it is a priority for us that you will always have new stuff to experience and master! A lot of our new content comes from our regular big expansion packs, they contain new cards, skins, avatars, emotes or even new Masters and are released roughly every two months. ExpeditionsNew expeditions appear in the game all the time. Travel around the world of Minion Masters to explore new worlds, fight other players and defeat PvE challenges that lead to epic loot!EventsWe believe in creating a forever fun and always engaging experience in Minion Masters, so we regularly spice things up with new events that last for a limited time. They range from challenges, friend events, tournaments, to new game modes, bonus quests and many more.CommunityWe have a thriving community in our steam forums and in-game where both developers and players answer questions, discuss and help you learn the game. Come join us now!!CosmeticsCustomize your character with epic skins! You can even change your side of the playing area to a look that suits you, by swapping your arena with a new one. Want to fight on a lava world? Maybe in a sunken temple? Or a graveyard? There are many options and the choice is yours.E-SportsSeveral community-driven tournaments have emerged around the game. Different tournaments happen every month, some for cash prizes, others for in-game currency or just bragging rights! Are you the best? Prove it!Participate in Minion Masters E-Sport:You can read more about this and other amazing stuff on our blog:  http://blog.betadwarf.com/Twitch Streamer FeatureWith the Twitch feature you can link your Twitch account. By winning our special streamer events you can get rewards for you and your viewers. We also feature twitch streamers in the game so people can see who is streaming.Feature List1v1 Ranked2v2 Ranked2v2 premade RankedDraftPvE challenges9 Masters (More coming soon!)100+ cards/minions (More coming soon!)EventsActive CommunityE-Sports sceneCrafting systemIngame chat and emotes.Recurring stream eventMaster skins (More coming soon!)Custom arena skins. (More coming soon!)Replays!Expeditions!Rapid game updates!Collect your own Arenas!Season rankings!Gorgeous 3D visuals that we are always updating and working on!Pick one of a bajillion strategiesDid we mention the Puffs? There’s even a King Puff!Gameplay descriptionEach player has a pool of mana and a deck of 10 cards (minions/spells/buildings). A card can costs between 0-10 mana and your mana regenerates over time during the match.There are 2 bridges in the middle that you need to capture and hold. They generate experience so your hero can level up his abilities before the enemy.You place minions on your side of the arena and the goal is to have them destroy the enemy’s tower. Minions have minds of their own and once you have summoned them, they can no longer be controlled, so place them wisely!Most minions have unique abilities. A few examples of this are: AOE damage, healing, teleporting, mana regen, flying and many more.Spells can be used to change the flow of the game in your favour. Spells such as healing, mind control or stuns can be devastating in the hands of a skilled player.Each hero has unique abilities that change the game drastically as they become active. Awareness, strategy and dedication is needed if you want to become great at the game.Join in and have fun in our amazing world of Minion Masters! - The Betadwarf team"
Realm of the Mad God,"Wild Shadow Studios, Deca Games ",Deca Games ,"['Free to Play', 'Massively Multiplayer', 'Pixel Graphics', 'RPG', 'Perma Death', 'Multiplayer', 'Bullet Hell', 'MMORPG', 'Action', 'Indie', 'Rogue-like', 'Open World', '2D', 'Adventure', 'Difficult', 'Survival', 'Co-op', 'Retro', 'Strategy', 'Casual']","Realm of the Mad God is the first ever free to play Bullet Hell MMO.  Team up with dozens of players and battle through the Realm of the Mad God, Oryx. With a retro 8-bit style, Realm is an evolution of traditional MMO gameplay. A dozen classes and hundreds of items to discover means Realm is easy to play but difficult to master. Players can jump in Realm for 5 minutes or stay online for hours because there is nothing to install or download.Key FeaturesAction combat! No turn-based battles here, only skilled running and gunning.Epic boss battles. Navigate demented waves of bullets from nasty demons.True cooperative play. All experience is shared and you win by playing together.Great 8-bit art: Retro styling straight from the 8-bit era.Over a dozen unique character classes. Play as a powerful wizard, a clever mystic, a brawling warrior.Loot! Hundreds of weapons, potions, armors, and rings.PermaDeath. Dying well means something in Realm. Earn fame if you survive for long enough and kill enough monsters.Sheep. The sheep say 'Baa.' "
Elsword,KOG ,KOG Games ,"['Free to Play', 'Anime', 'RPG', 'Action', 'MMORPG', 'Adventure', 'Massively Multiplayer', 'Fighting', 'Multiplayer', 'Side Scroller', 'PvP', 'Online Co-Op', 'Cute', 'Hack and Slash', 'Fantasy', '2D', 'Casual', 'Co-op', ""Beat 'em up"", 'Platformer']","Elsword is a free-to-play, online action RPG that uses classic side-scrolling beat ‘em up gameplay mechanics and deep customization to bring a unique manga experience to life. In Elsword, you star in your own comic book while experiencing all the excitement of a massively multiplayer online game. Get ready for fast-paced gameplay, stunning animation, and epic bosses. Whether conquering hordes of enemies in dungeon runs or showing off your skills in the PvP arena, Elsword is the most intense free-to-play action RPG to date.Key Features•Co-Op Gameplay - Party-up with friends to explore over 50 unique and beautifully rendered dungeons, towns, and secret levels. •Unique Characters, Unique Stories- Players can choose from thirteen customizable characters, each their own unique story, play style and special skills to develop. •Skill-Based PVP Combat- Elsword offers intense and strategic PvP with matchmaking and multiple competitive modes. Challenge your friends in matches of up to 8 players at a time. •Customize like Crazy- Each character features multiple job changes, dozens of skills and endless opportunities for customization. Create or discover your personal look. •Community Support- Constant game updates, item and content expansions, and special events including GM Livestream play sessions, community contests and PVP Tournaments are all a part of the Elsword experience."
The Lord of the Rings Online™,"Standing Stone Games, LLC ","Standing Stone Games, LLC ","['Free to Play', 'MMORPG', 'Massively Multiplayer', 'RPG', 'Fantasy', 'Open World', 'Adventure', 'Multiplayer', 'Based On A Novel', 'Action', 'Exploration', 'Character Customization', 'Story Rich', 'Co-op', 'Online Co-Op', 'Third Person', 'Survival', 'PvP', 'Singleplayer', 'Dark Fantasy']","In The Lord of the Rings Online™, join the world’s greatest fellowship of players in the award-winning online re-creation of J. R. R. Tolkien’s legendary Middle-earth. From the crumbling, shadowed ruins of Weathertop to the ageless, golden wood of Lothlórien, immerse yourself in Middle-earth as you have never seen it before. Visit the peaceful, verdant fields of the Shire, brave the dark depths of the Mines of Moria, and raise a pint at the Prancing Pony in Bree!Key Features: Explore the Massive World of Middle-earth: Immerse yourself in the award-winning recreation of the beloved fantasy world of J.R.R. Tolkien through renowned locations including the Shire, the Mines of Moria, and Lothlórien.Create & Advance Your Hero: Advance to level 105 with thousands of character customization possibilities. 4 races, 9 classes, 10 professions, 7 vocations, plus over 1,000 titles, skills and traitsSolo & Co-op Skirmishes: Dive into instant adventure alongside friends or customizable AI soldiers in exciting, scalable battles!Legendary Items: Design and customize your own legendary weapons of immense power like Bilbo’s Sting or Gandalf’s Glamdring!Play as a Monster: Fight as a servant of Sauron against other players in intense PvMP Combat!Craft Your Own Gear: Farm crops in the fertile fields of the Shire or let your hammer ring in the Dwarven halls Ered Luin.Free Online Play: No monthly fees required.  "
Fishing Planet,Fishing Planet LLC ,Fishing Planet LLC ,"['Free to Play', 'Fishing', 'Simulation', 'Multiplayer', 'Sports', 'Massively Multiplayer', 'Realistic', 'Relaxing', 'Co-op', 'First-Person', 'Early Access', 'Singleplayer', 'Open World', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'FPS', 'MMORPG', 'Action']","Fishing Planet® is a unique and highly realistic online first-person multiplayer fishing simulator developed by avid fishing enthusiasts for anglers to bring you the full thrill of actual angling! Choose your lures, make your trophy catches, discover new possibilities and sharpen your real angling skills anywhere, anytime with your friends!  The game is FREE to play and just a download away! Fishing Planet® isn’t just another game about fishing. Stunning eye-candy graphics, superb hydro and aerodynamics, realistic tackle behavior and damage based on actual simulation physics and, most importantly, fish with artificial intelligence for completely lifelike behavior make this a true-to-life fishing simulator that can help you improve your actual angling skills!  The combination of unique graphics, realistic game physics and sophisticated AI will bring the realistic world of fishing directly to your screen!Key features:110+ species of fish, each with its unique behavior and AI. 17 scenic waterways with multiple locations, various climatic conditions, bottom terrains and vegetation. Three types of fishing - float, spinning and bottom.Thousands of tackle combinations with unique physical and hydrodynamic properties. Superb dynamic water graphics with ripples and surface that changes depending on wind, current and depth. Weather – day/night alternation, change of seasons, different weather conditions (rain, fog, bright sunshine) Multiplayer capacity – online tournaments with personal and team scores, system of achievements, leader boards and top-player lists.What makes us different:Complex AI system for fish behavior that correlates with seasonal and climatic change, time of day, speed of water current, bottom contour and type (color and structure), water and air temperature, wind, etc. Biting/striking reactions for each fish species are completely realistic and natural as well as specifics of lure attacks. Photorealistic graphics – using latest high-end tools for ultimate photo-realism: photogrammetry, all waterways are based on real location. Unique system of game physics and realistic tackle damage – rods, lines and reels break according to their actual individual characteristics. Realistic aero and hydrodynamic environment for lures and retrieves.Dynamic water graphics – splashes, waves and ripples on the water create a fully realistic fishing atmosphere. Weather – change of conditions depending on location, season and time of day. Possibility of sudden rain or sunshine breaking through the clouds.  "
Crush Crush,Sad Panda Studios ,Sad Panda Studios ,"['Free to Play', 'Anime', 'Sexual Content', 'Nudity', 'Dating Sim', 'Clicker', 'Mature', 'Cute', 'Casual', 'Singleplayer', 'Funny', 'Romance', 'Visual Novel', 'Comedy', 'Memes', 'Indie', 'Female Protagonist', 'Resource Management', 'Strategy', 'Early Access']","Hey hot stuff! Are you looking for a fun and flirty game to kill some time and make you laugh out loud? That’s a crazy coincidence, because it’s been looking for you!Welcome to Crush Crush – the Idle Dating Sim! Begin your quest to win the hearts of your town’s lovely ladies… after a disastrous intro or two! To do it you’ll have to build your stats, unlock amazing new jobs, and then sweep your waifu off her feet with exotic dates, the perfect gift, or maybe a tickle fight or two."
Dungeon Defenders II,Trendy Entertainment ,Trendy Entertainment ,"['Free to Play', 'Tower Defense', 'Multiplayer', 'Co-op', 'Strategy', 'RPG', 'Action', 'Online Co-Op', 'Fantasy', 'Adventure', 'Third Person', 'Funny', 'Early Access', 'Indie', 'Singleplayer', 'Massively Multiplayer', 'Casual', 'Hack and Slash', 'MMORPG', 'MOBA']","Etheria is under attack! Build mighty defenses to freeze, burn and disintegrate your foes -- then grab a sword and jump into the action! Level up a team of heroes, deck them out in loot, and destroy the hordes by yourself or in four-player online co-op!Create a Team of HeroesWizards! Robots! Thieves! Recruit a cast of characters to join you on your quest to save Etheria. Each hero brings unique abilities and defenses to the battlefield. Swap between your heroes on the fly to use all of their tools -- even in combat!Build Your DefensesConstruct a deadly grid of laser beams. Drown your foes in quicksand. Build a wall of flamethrowers and watch the world burn, you sicko. A wide variety of defenses are at your disposal, and you'll need them all to protect the Eternia Crystals from the Old Ones' army.Shoot and LootLeap into battle and get your hands dirty! Grab a sword, a bow or a laser shotgun to blast through hordes of enemies. As you play, you'll find loot and Shards to equip and customize your heroes with. Just beware of the goblin blood. As much as you scrub, the smell never goes away.See the SightsIn your journey, you'll visit ancient forests, massive castles, haunted temples, active volcanoes, and a surprisingly small number of dungeons for a game named Dungeon Defenders II.Bring a Friend (or 3)!Dungeons aren’t meant to be defended alone! Invite your friends to join you in Etheria for four-player online co-op.More Updates on the Way!As we did in Early Access, we're going to add more heroes, maps, loot and things to do, and we'll continue to listen to you about how to improve Dungeon Defenders II! "
theHunter Classic,"Expansive Worlds, Avalanche Studios ","Expansive Worlds, Avalanche Studios ","['Free to Play', 'Hunting', 'Multiplayer', 'Open World', 'Simulation', 'Shooter', 'Co-op', 'First-Person', 'Survival', 'Realistic', 'Online Co-Op', 'Sports', 'Adventure', 'FPS', 'Singleplayer', 'Action', 'Stealth', 'Strategy', 'Massively Multiplayer', 'Casual']","The most realistic online hunting game ever created is available now, for free! Experience the thrill of the hunt in vast, open-world environments ranging from the desolate Australian outback and overgrown swamps of Louisiana to the dramatic landscape of the Austrian Alps. As a hunter, you will use everything from crossbows to handguns and state of the art bolt action rifles to track, spot and harvest your prey. Realistic animal behaviors and persistent online features provide a living, open world where you can explore at your own pace or compete with other players for bragging rights.Key FeaturestheHunter Classic was first released in 2009, and is still continuously updated with new weapons, species, environments, equipment and features. There’s a treasure trove of content for hunters to discover here, and more is still coming!Hunt 44 lifelike species, all recreated in painstaking detail from looks to behaviours. Species include Bobcat, Black Bear, Brown Bear, Polar Bear, Moose, Whitetail Deer, Turkey, Pheasant, Coyote, Red Fox, Roosevelt Elk, Wild Boar, Red Deer, Roe Deer, Mule Deer, Blacktail Deer, Feral Hog, Mallard, Canada Goose, Cottontail Rabbit, Reindeer, Alpine Ibex, European Rabbit, Red Kangaroo, Bison, Snowshoe Hare, Arctic Fox, Sitka Deer, Gadwall, American Black Duck and Northern Pintail. Just to name a few.Explore 11 vast and endlessly varied environments with detailed graphics, complete with a full day cycle and immersive weather effects - from the sub-arctic Alaska to the swamps of Louisiana.Form a hunting team and experience co-op multiplayer with up to 7 friends (or complete strangers).Extensive online features. Increase your skills, increase your stats and get creative with Trophy Shots. Take part in competitions and climb the leaderboards or go on challenging missions to earn achievements.Join the biggest and friendliest online hunting community. We are all about helping and sharing our achievements. Show off that incredible set of antlers, proudly mounted in your private Trophy Lodge, or check out other accomplished hunters’ hauls for inspiration. Having trouble tracking and harvesting that big one? Ask the community, many of whom are real-life hunters, and get a helping hand.Progressing and Acquiring Items in the GameIn theHunter Classic, a generous amount of content is available for free. Right at the outset, five huntable species (Whitetail Deer, European Rabbit and Pheasant, plus two more animals rotating weekly), two weapons (.243 Bolt-Action Rifle & 12 GA Single Shot shotgun) and a great equipment loadout is available at no cost. Additional items such as weapons, species, licenses and ammunition can be acquired with gm$, in-game currency that can be earned through playing the game, or em$, in-game currency that can be purchased for real-life money or earned through winning in-game competitions.By hunting certain species and using certain items in the game, you are able to hone your skills and improve as a hunter. As these skills increase, more abilities unlock. With time and practice, you will be able to tell weight and gender from a simple animal track, and develop steadier aim for a range of weapons.Achievements can be earned through diverse in-game activities. Each achievement adds to your HunterScore, which can be used to track and compare your progress with other hunters. Increasing your HunterScore also unlocks upgrade items such as pouches and holsters for your rifles."
Governor of Poker 3,"OrangeGames, YoudaGames ",OrangeGames ,"['Free to Play', 'Card Game', 'Casual', 'Massively Multiplayer', 'Simulation', 'Gambling', 'Multiplayer']","Governor of Poker 3 is the best free multiplayer poker game with a great design. In this multi-player version of Governor of Poker you compete live with thousands of real poker players to prove you are the best and number 1 Texas Hold ’em poker star! Becoming a poker pro is a long journey through Texas; you will start as a rookie and work yourself all the way up to become a VIP poker player, a high roller to end up winning high stake games  in the Gold area.Great Game features : -  7 DIFFERENT POKER Formats:  Cash game, Sit & Go tournament, Push or Fold, Spin and Play, Heads up, Big Win and Royal poker.-  Poker Team! Team up with friends and win Challenge chests.-  Play BLACKJACK 21: many different betting amounts-  Big FREE welcome package of poker chips, gold and a Cowboy or Cowgirl hat.-  FREE chip stack bonus every 4 hours! -  Distinguish yourself by winning badges and trophies with your poker skills-  Cross platform game: Play against mobile(Android and iOS), steam and web players-  Play with poker buddies: Make friends & Invite them to play with you at the same table and send chip gifts!-  Complete poker achievements and win gold coins and XP points.-  Chat with other hold em players through chat and animating emoticons. Use them to bluff or taunt players so you win the poker hand !-  Connect your email and continue playing your Steam poker progress on your Android or Apple iOS device!*** What are you waiting for?! Download and Join the most exciting poker adventure now! ***Note:The games are intended for an adult audience. (e.g Intended for use by those 21 or older)The games do not offer “real money gambling” or an opportunity to win real money or prizes. (e.g the game is for amusement purposes only)Practice or success at social casino gaming does not imply future success at “real money gambling”"
Eternal Card Game,Dire Wolf Digital ,Dire Wolf Digital ,"['Free to Play', 'Card Game', 'Strategy', 'Trading Card Game', 'Casual', 'Massively Multiplayer', 'Multiplayer', 'Early Access', 'Singleplayer']","The Game Has ChangedSix-guns and sorcery collide in Eternal, the strategy card game of unlimited choices and unbelievable fun! Eternal offers the best of both worlds:Rich, deep strategic gameplay and counterplay with fast-spells and tactical combat!Next-gen mobile-friendly digital design with quick, smooth and intuitive gameplay!…all wrapped up with exciting digital mechanics and the most generous game economy out there!Play What You WantEternal is the most truly, generously free-to-play digital card game you can find. We’re committed to giving players the cards they need and the creative freedom to build any deck you can imagine.Every card and every game mode in Eternal can be played for free, without ever paying a dime.The only limits are your imagination – Eternal has no restrictions on which cards can be played together in your deck!Play How You WantEternal has a variety of game modes to suit any player: Tournaments – Test your mettle in competitive play with cash prizes! Events – Frequent events introduce fun new twists and temporary rules! Ranked – Grab your favorite constructed decks and battle for the top spot on month-long Leaderboards! Casual – Pull off wacky combos in fun pick up games. Jank welcome! Draft – Build a deck on the fly from 48 cards passed by other players, and keep what you Draft! Sealed League – Crack 14 packs and build your way to victory in a month-long Sealed League! Promo Quests – Each month introduces a new card that can be earned for free during special Promo Quests! Campaign – Join the battle for the Eternal Throne in story-driven PVE campaigns that introduce new cards to the game! Forge – Level up your game against the AI in Forge! Pick cards for your deck from sets of three, and see how far you can go! Gauntlet – Learn new tricks in the Gauntlet! Test your constructed deck against AI opponents and wild Boss Powers designed by the best professional TCG players in the world!Play When You WantEternal’s cross-platform play brings your decks and your collection anywhere you want to be. Your account goes with you to just about anywhere, so there’s always time for a lightning-fast game!Eternal is available on:PC on Steam    Xbox One & Microsoft StoreAndroid Phones and TabletsiOS Phones and Tablets "
Black Squad,NS STUDIO ,"NS STUDIO, NEOBRICKS ","['Early Access', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Military', 'First-Person', 'PvP', 'Singleplayer', 'Massively Multiplayer', 'Co-op', 'Tactical', 'War', 'Team-Based', 'Early Access', 'Violent', 'Open World', 'Strategy', 'Gore']","Black Squad is a military first-person-shooter game using the Unreal Engine 3 to show realistic graphics and dynamic visuals. Absolutely no Pay-to-Win. Welcome to the best F2P shooter on the market.Battleye support, dedicated servers, great shooting mechanics and amazing netcode. Easy to adapt and a shooting game oriented for mass military lovers.One of the Most Played Games on Steam!Join hundreds of thousands of other Black Squad players worldwide! Whether you’re reaching your 10th hour of gameplay or 100th, there’s always something new to learn, practice, and perfect. Black Squad is updated regularly to improve gameplay, features, and items alongside new and fresh content to keep you entertained!No Money Necessary, just Pure SkillsNo money? No problem. Black Squad is a free FPS available for absolutely everyone. No payments, no microtransactions, no money is necessary to play and succeed. All items and weapons are purchasable with in game currency. Real money can be used to purchase cosmetic items. Now is your chance to really improve your skills as a pure FPS gamer.Action-PackedBlack Squad offers a wide range of weapons, maps, modes and characters. With this much variety of weapons, maps, and modes to choose from; every game is a new experience. You’ll need to stay alert and adapt to new strategies and tactics. Black Squad gives you the freedom to play how you want to. Figure out your own combat style and what works for you. Like to get up close and personal? A stealthy assassin? Attack from afar? Maybe a master of all!Play With Your Friends- or Make New Ones!Connect with your Friends, Join a Clan, or Create your own! We feature regular Clan Wars and a Clan Ranked System. Battle it out, prove your skill, and work your way to the top! Don’t forget to join our Official Discord! https://discord.gg/blacksquadYou’ve Got Support!Come across a problem? Need some help? Have a suggestion? We have a dedicated Support Center here to help you. All tickets receive responses within 24-48 hour working days. We offer support for multiple languages: English, Spanish, Portuguese, French, German, Russian, and Chinese. http://support.blacksquad.com/ "
Freestyle 2: Street Basketball,Joycity ,Joycity ,"['Free to Play', 'Basketball', 'Sports', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Co-op', 'Casual', 'Competitive', 'Strategy', 'Singleplayer', 'Simulation', 'e-sports', 'Controller', 'Open World', 'Anime', 'Great Soundtrack', 'Funny', 'FPS', '2D']","Freestyle 2 is the Ultimate Online Street Basketball Game! Experience a superior gameplay of basketball and perform freestyle street basketball moves!  Enjoy the excitement of vibrant street basketball with its unique cel-shaded graphics and game experience.One Player, One Character   Pick a character based on their position move up in the league. Choose the progression depending on your favorite playstyle.  Test your teamwork with other basketball players online and show’em what you got!Key Features Positions: Center, Power Forward, Small Forward, Shooting Guard and Point Guard. Skills: Create your own play style with over 30 moves including shooting and passing skills! Tournament & Crew: Team up with your crewmates and win in a tournament for a chance at great items and prizes! Customization: Customize your character’s look. Choose from a wide range of outfits, hairstyles, shoes, accessories to make your own fashion statement! Tutorial & Training: Exclusive tutorials on how to execute each and every skill in the game.  "
Bless Online,NEOWIZ BLESS STUDIO ,NEOWIZ ,"['MMORPG', 'Open World', 'Massively Multiplayer', 'RPG', 'Adventure', 'Action', 'PvP', 'Sexual Content', 'Free to Play', 'Early Access', 'Character Customization', 'PvE', 'Fantasy', 'Violent', 'Multiplayer', 'Gore', 'Anime', 'Nudity', 'Crafting']","“We invite you all to the world of Bless Online!”Explore the beautiful and breathtaking open world!Face diverse challenges!Join group battles to decide the fate of huge wars while earning rewards!Experience the endless possibilities of Bless Online now!7 Distinct Races & 5 Unique ClassesTake the first steps in creating your character by selecting your character’s class and race! Experience the wide variety in skills, combat styles, and lore with each option.Race:Class: Production and CraftingWith a variety of crafting skills including weaponry, armor, handiwork, enchantment, alchemy, and cooking, players can pursue whatever aspect of production sparks their imagination.Dungeons Challenge yourself with dungeons of varying scale and difficulty! Battle bosses and monsters on your path to glory!Discover the special dungeon where players can obtain rare plants and minerals.Field Battles & RaidsCooperate with other players or pit yourself against them as you fight terrifying bosses!Monsters in Bless aren’t just for fighting! The 660 unique tameable species can become useful allies through taming.Take part in the ongoing war between Hieron and Union! In everything from simple duels to 100v100 RvR battles, a player’s prowess will help build their reputation in the Bless world. "
RaceRoom Racing Experience,Sector3 Studios ,"Sector3 Studios, RaceRoom Entertainment AG ","['Racing', 'Free to Play', 'Multiplayer', 'Simulation', 'Driving', 'Sports', 'Singleplayer', 'Action', 'Realistic', 'First-Person', 'Controller', 'Open World', 'Massively Multiplayer', 'Co-op', 'Adventure', 'Online Co-Op', 'VR', 'FPS', 'Casual']","RaceRoom is the premier free-to-play racing simulation on PC and home to official race series like DTM, WTCR, the WTCC and ADAC GT Masters. Enter RaceRoom and enter the world of a professional race car driver.A selection of free-to-play race cars and tracks are yours to drive with unlimited wheel time in multiplayer and single player games modes. Sponsored competitions and other free-to-play events allow you to enjoy premium game content at no cost.Additional cars, tracks, and liveries can be bought individually or as packs inside the game store using an in-game currency called vRP, which is purchased using your Steam Wallet.Key FeaturesFree to play - Eat, Sleep, Race, RepeatA premium racing simulator is yours free-to-play on the PC. Race endlessly alongside the world’s most talented drivers in online multiplayer and single player game modes. Your dream car is here - Grab your pickBMW, Mercedes-Benz, Audi, Chevrolet, Ford, McLaren, Pagani, RUF,  Radical, Volvo, Saleen, and more to come. These manufacturers bring the best minds in racing together to dominate the world of motorsport and the machines they create are precision instruments of power, perfection, and speed. We are proud to present them in the digital form for your enjoyment.Speed is a universal language - Hit the roadGoing fast is a worldwide pastime and many of the most beautiful points on the globe are home to miles of thrilling blacktop. Start racing and conquer these places for yourself.Up Close and Personal - Stand among the giants of racingNo game gets you closer to professional racing and the drivers that make a racing series great. RaceRoom is home to WTCC, DTM, and ADAC GT Masters, with more to come.Realism - Every sense touched You will see, hear, and feel what a race car driver does behind the wheel. You’ll grow smelly from intense focus and the resulting perspiration, and all you control is the taste at the end of the race. Will it be that of  sweet victory... or bitter defeat? The experience of racing is yours and it’s unforgettable.Accessibility - Racing is a family sportNovice, Amateur, and Get Real game modes cater to drivers of all ability. This game is fit for the entire family, so start driving today with your Steering wheel, keyboard, or gamepad.The pursuit of perfection - Single PlayerRefine your skills against intelligent and challenging computer driven opponents. Use the Adaptive A.I., which automatically adjusts opponent difficulty based on your performance, or customize opponent difficulty to your liking.Defeat the competition - Online MultiplayerLine up with a grid of twenty-four players as you battle new friends and rivals in online multiplayer races.Competitions - Capture gloryCompete against the world’s greatest drivers in sponsored competitions from Mercedes-Benz, EURONICS, DTM, ADAC GT Masters, and more. These competitions also allow free players access to premium content throughout the duration of most events.Fast paced gameplayBe ready to break a sweat! Racing is the ultimate in twitch gameplay. No time for breaks, no room for mistakes. You are on point or you are into the weeds. Push harder, go faster, and reap the rewards of an adrenalin induced smile.Important Info/DLC Purchasing PolicyR3E user accounts are associated with the user’s Steam account for security and transactions through Steam Wallet. A Steam account can use multiple R3E accounts by using the ‘switch accounts’ function in the R3E Account Settings.Upon purchasing an R3E DLC via the Steam Store, an R3E user account will be permanently associated with that Steam account and it will no longer be possible to switch accounts. The option to switch accounts will be permanently removed from the R3E Account Settings. "
Digimon Masters Online,"Move Games Co., Ltd. ",MOVE ON USA CO. ,"['Free to Play', 'Anime', 'Adventure', 'Massively Multiplayer', 'MMORPG', 'RPG', 'Action', 'Open World', 'Multiplayer', 'Casual', 'Action-Adventure', 'Action RPG', 'Co-op', 'Fantasy', 'Arcade', 'Online Co-Op', 'FPS', 'Survival', 'Singleplayer', 'Psychological Horror']","Digimon Masters Online is the latest MMO featuring the ever-popular Digimon franchise. This long awaited game will feature a deeper RPG experience, enhanced graphics and adrenaline-pumping real-time combat. Both new and long-time Digimon fans can now immerse themselves into this new epic adventure with their very own Digimons.What's a Digimon?Digimon, short for Digital Monsters, is a globally popular Japanese media franchise featured in countless TV series/animes, mangas, video games, films, toys, collectible card games, etc. Digimons are creatures inhabiting in the Digital World, a virtual space created by humanity's various communication networks and their developers.Digimons are raised by humans referred to as 'Tamers' and they go on thrilling adventures to defeat evil Digimons and human villains who strive to destroy the peace of the Digital World and the real world.This world is located within the main host computer, Yggdrasil, and is controlled/managed by artificial intelligence.All Digimons each possess unique artificial intelligence which allows them to think, judge and communicate.As Digimons each grow from their youths to adult forms, they go through several steps of Digivolution (Digi-Egg - Rookie - Champion - Ultimate - Mega), to become more powerful and to survive.Game FeaturesMMO-based real-time combat with enemies100+ Mercenary Digimons Digimon Riding ModesRaid bosses, dungeons (Party Mode available)Digimon/accessories reinforcement systemUp to 50 Maps and worlds (much more to come!)Guild system along with ranks and titlesFriend systemTrading systemAchievement & titlesQuestsParty systemCostumes & avatars "
